Id,SalePrice
1461,105559.16573286917
1462,178672.77575609792
1463,163387.05381532037
1464,191715.761110891
1465,217882.06906791
1466,171937.31431026798
1467,157169.87576281384
1468,162500.4608805722
1469,212875.30958883546
1470,99912.44343356835
1471,208314.72081798274
1472,106885.94634295463
1473,97600.3460973014
1474,169277.45079013926
1475,132520.9379924753
1476,356972.77765387064
1477,262457.0199531837
1478,321890.8174609863
1479,318323.9112770576
1480,419604.7729390281
1481,305448.86918576894
1482,230340.9405663031
1483,197607.5825663014
1484,184874.45305956312
1485,181126.47121770965
1486,214206.44790967208
1487,317885.1801168831
1488,264709.4973650813
1489,203901.95782779797
1490,209540.27966527818
1491,215798.08764348525
1492,97468.76074700167
1493,178959.40452481876
1494,292357.7851945495
1495,288925.33417542285
1496,223833.385454697
1497,211787.7311188509
1498,175853.4881584546
1499,175381.87938664082
1500,161043.86172610123
1501,180811.2358633595
1502,165671.49417434394
1503,269926.26671633986
1504,244134.0917679216
1505,225746.00009593435
1506,211843.5839780955
1507,255795.4491254444
1508,195056.4016563185
1509,173304.16634120842
1510,148166.0869634627
1511,146272.47494350455
1512,180154.21869643105
1513,162901.28537823376
1514,163191.8285001961
1515,201546.93079965314
1516,158512.207320271
1517,159324.81851279413
1518,169253.860537941
1519,222051.8772236229
1520,125424.26479495197
1521,133068.7795615439
1522,183205.88043662245
1523,108404.45593572501
1524,141946.88646313248
1525,110421.84953286081
1526,114794.70739764186
1527,78069.73217228582
1528,131925.63855738338
1529,139535.93473845048
1530,178917.49454688068
1531,113437.10308992579
1532,81278.6876807833
1533,170083.69453843028
1534,162212.85390423532
1535,165620.1147906817
1536,115233.21905844261
1537,43203.398994246905
1538,181537.26127876795
1539,199876.99435162067
1540,175130.5232870949
1541,149103.52418261504
1542,139368.09801779408
1543,210471.84166341988
1544,72837.39074328993
1545,111996.4235667655
1546,125912.77228038808
1547,138143.33618419035
1548,137207.72071376198
1549,97535.15062408663
1550,128305.15691741493
1551,125312.81718780898
1552,144852.79535630712
1553,147139.16467558808
1554,121055.1590502566
1555,158541.84270532202
1556,99456.68507082757
1557,119326.98229162063
1558,104912.52926899042
1559,108492.62291236897
1560,132280.53266234766
1561,158265.0259524844
1562,121508.60186197593
1563,105145.57963920374
1564,164113.3495928674
1565,146783.6621971865
1566,210857.1840440882
1567,73486.68579823084
1568,216728.97997045008
1569,133114.7614135709
1570,134954.03546733139
1571,112884.56845535603
1572,125739.60793850532
1573,240796.64652541123
1574,142031.13205876644
1575,226976.6556062029
1576,230039.17806538535
1577,197877.43035623746
1578,132410.26948838006
1579,129365.66111251415
1580,194609.66212286727
1581,123521.1950275748
1582,113784.09636938506
1583,294684.5995308879
1584,238909.89798108552
1585,151763.6260148891
1586,18147.461193441995
1587,87924.468818625
1588,133045.52725760004
1589,133011.34691779639
1590,137376.6932643444
1591,77630.35215865765
1592,142489.45907556446
1593,122167.01560063873
1594,130490.67466854547
1595,129561.23291089978
1596,222401.51551760224
1597,183007.58595112036
1598,198799.4089054246
1599,194029.25074224552
1600,200869.04627414132
1601,10916.545219371648
1602,109401.95045324398
1603,62691.17505602504
1604,247421.83593179536
1605,260190.04089955514
1606,177885.52045623073
1607,223168.81703601737
1608,228576.79493769488
1609,204571.91899819823
1610,139459.8692820705
1611,147731.9824631223
1612,185344.1833574686
1613,161560.69023227633
1614,107380.73190111949
1615,72645.34963896777
1616,72943.35577793804
1617,84750.66728136319
1618,103429.92909629618
1619,135190.98634489643
1620,193303.1738471268
1621,138564.32763396634
1622,130670.83803827655
1623,261917.6996620908
1624,211911.84590577384
1625,120752.55856406652
1626,177222.29818527098
1627,176938.70347487312
1628,281045.1343378973
1629,174080.01222163936
1630,326477.7607139608
1631,222195.07833363657
1632,257533.38545340832
1633,161017.6385468378
1634,177239.54160463414
1635,177008.69620878337
1636,173069.3564594351
1637,179368.17931932575
1638,228361.86579683778
1639,193114.43223368598
1640,271367.85068663047
1641,185490.53294736397
1642,259449.50158440424
1643,248544.62046622793
1644,243354.41788856324
1645,178020.7252157313
1646,148755.6465478519
1647,172940.54024310043
1648,143519.89551696563
1649,121066.46271169772
1650,97308.19605906651
1651,99026.11865504424
1652,107563.82906010047
1653,107224.88770152755
1654,157712.92466225865
1655,154462.62071425022
1656,154546.20469926222
1657,158430.1666807779
1658,154895.68872784587
1659,132736.17868958885
